country,ISO3,year,broadband,telephone,cellular,internet,credit,education,ict,tech,patent_residents,patent_nonresidents,researchers,RD,gdppc,urban,articles,business,fdi_outflow,fdi_inflow,gdp,gdp_growth,Innovation_index,latitude,longitude
Austria,AUT,2009,1878524,3253000,11434000,73.45,97.73957467,67.99157715,4.012334698,13.43745371,2263,292,4158.864746,2.596740007,42655.19213,57.683,10837.18,1.098368169,3.872516754,3.559366135,3.56E+11,-3.764578178,0.078102941,48.210033,16.363449
Austria,AUT,2010,2050400,3398000,12241000,75.17,98.52832394,75.04025269,3.94819967,13.70527973,2424,249,4380.434082,2.726099968,43334.50896,57.399,11058.41,1.068585825,-3.652443041,-5.610176315,3.62E+11,1.837093677,0.070134892,48.210033,16.363449
Austria,AUT,2011,2097700,3388000,13022578,78.7399931,96.06109929,77.26251221,3.7939034,13.25532734,2154,276,4431.666992,2.668679953,44451.00019,57.115,11683.33,0.961632824,8.836365763,5.324236737,3.73E+11,2.922797284,0.061866313,48.210033,16.363449
Austria,AUT,2012,2130200,3380000,13588000,80.02999392,94.22379903,79.54712677,3.889467798,14.54464429,2258,294,4721.936035,2.914720058,44549.8817,57.147,12050.36,0.99565769,4.505182228,1.274693933,3.76E+11,0.680445577,0.061673066,48.210033,16.363449
Austria,AUT,2013,2232500,3334000,13272000,80.6188,92.55775212,80.96160126,4.206127886,15.36900841,2162,244,4783.213867,2.954920053,44299.37818,57.336,12201.98,1.046682823,2.56421002,0.104862186,3.76E+11,0.025504712,0.06330852,48.210033,16.363449
Austria,AUT,2014,2359000,3518900,12952605,80.99582496,87.55558785,81.0195694,4.277068444,15.49043088,2092,271,5010.507324,3.084290028,44245.16874,57.526,12408.16,1.232728677,-0.197784974,0.386858115,3.78E+11,0.661272849,0.066569721,48.210033,16.363449
Austria,AUT,2015,2455500,3609900,13470623,83.94014193,85.89120788,82.25630951,4.116075846,15.03264403,2205,236,5074.430176,3.049690008,44195.81759,57.715,12840.55,1.084121534,-0.560119576,-2.088056539,3.82E+11,1.014501586,0.063696418,48.210033,16.363449
Austria,AUT,2016,2523300,3567200,11079460,84.32374257,83.13573566,82.8496933,3.791092514,14.4530596,2078,237,5401.303711,3.116549969,44590.25163,57.905,12668.55,1.012047577,-6.799712539,-7.310916958,3.90E+11,1.989437162,0.058204619,48.210033,16.363449
Austria,AUT,2017,2511400,3711200,10859000,87.93558659,84.26289373,83.83925629,3.483219307,12.88191087,2073,232,5416.893555,3.05656004,45281.7234,58.094,12756.54,1.024764549,2.422529343,3.23990498,3.98E+11,2.258572433,0.058325383,48.210033,16.363449
Austria,AUT,2018,2521200,3735346,10984000,87.47913723,84.41367028,85.86988831,3.4121475,11.64557141,2039,168,5683.242676,3.091820002,46154.6251,58.297,12713.75,0.994755862,-5.915302474,-6.287101585,4.08E+11,2.425385361,0.054851886,48.210033,16.363449
